Ausgabe;Autoren;Rubrik;Titel;Seiten;Abstract
"2021-1";"Andreas Gürten";"Modell";"Paternoster";"29–32";"Ein Paternoster ist eine besonders faszinierende Aufzugsanlage. Kein Wunder, dass auch fischertechniker davon fasziniert sind – und ein Paternoster-Modell konstruieren…"
"2021-1";"Benjamin Klingebiel";"Modell";"Strandbeester";"33–40";"Strandbeester sind vom niederländischen Künstler Theo Jansen entwickelte Laufmaschinen, die sich, vom Wind angetrieben, fortbewegen. In diesem Beitrag erkläre ich die zu Grunde liegende Beinmechanik und stelle zwei verschiedene Varianten zum Nachbau aus fischertechnik-Teilen vor."
"2021-1";"Florian Bauer";"Optik";"Ein Michelson-Interferometer mit fischertechnik";"41–47";"Mit der Verfügbarkeit von Halbleiterlasern ist es inzwischen möglich, interessante Experimente zu optischen Messungen und Interferenz zu Hause mit geringem Kostenaufwand aufzubauen."
"2021-1";"Rüdiger Riedel";"Modell";"Drei Clowns und ein Krokodil";"48–55";"Mit dem Electronics-Modul rt-tp (152063) lassen sich auf einfache Weise Figuren in Bewegung versetzen."
"2021-1";"Tilo Rust";"Modell";"Großprojekt Seilbahn (Teil 1): Von der Idee zum Kick-Off";"56–65";"Diese Serie begleitet das Großprojekt „Kuppelbare Einseilumlaufbahn / Doppelmayr (10-MGD)“ im Erlebnismuseum Fördertechnik Sinsheim von Anfang bis zur Fertigstellung und Ausstellung auf der BUGA 2023 in Mannheim. Wir berichten über Hintergründe des Projekts, Technik und Entwicklung, sowie Modell und Team."
"2021-1";"Dirk Fox";"Fahrzeugtechnik (Modell)";"Mecanum-Räder und Omniwheels";"66–74";"Wie konstruiert man einen mobilen Roboter, der sich omnidirektional – also in alle Richtungen – bewegen kann? Eine Antwort darauf sind Mecanum-Räder und Omniwheels. Wie genau funktionieren die – und wie baut man sie mit fischertechnik?"
"2021-1";"Stefan Falk";"Schaltungstechnik (Elektromechanik)";"Motorsteuerungen (7): Weinbergbahn-Schaltung mit Relais";"75–79";"Zur Weinbergbahn aus ft:pedia 3/2018 [1] entwickeln wir hier eine Schaltung mit derselben Funktion, die aber anstatt Elektronik zwei Relais verwendet."
"2021-1";"Peter Krijnen";"Elektronik";"Silberlinge: Original oder Nachbau (Teil 1)";"80–93";"Was ist das, in einer Zeit von Smartphones und Apps, diese Vorliebe für die Silberlinge? Neu sind sie nicht mehr zu kaufen und über eBay werden sie wie Gold gehandelt. Obwohl es jetzt möglich ist, ein Modell mit einem Computer und Interfaces zu steuern, zieht die Nutzung der Silberlinge immer wieder an."
"2021-1";"Hans-Christian Funke";"Elektronik";"Elektronik-Module (Teil 6)";"94–99";"Dieser Teil bildet den Abschluss meiner Beiträge zu den Elektronikmodulen. Von den inzwischen 25 verschiedenen Elektronikmodulen stelle ich euch in diesem Beitrag die drei jüngsten Module vor. Weitere Elektronikmodule sind zwar aus heutiger Sicht eher nicht angedacht, aber nicht ausgeschlossen."
"2021-1";"Hans-Christian Funke";"Modell";"Zählsystem";"100–102";"Habt ihr auch schon einmal festgestellt, dass ihr gerade gar keinen Überblick habt, wie viele Pakete, Kugeln oder andere Objekte sich gerade in Eurem Modell tummeln? Dafür kann man ideal einen Computer einsetzen, der alle eingehenden Objekte zählt und auch kontrolliert, wie viele Objekte das Modell wieder verlassen. Nun hat aber nicht jedes Modell einen Computer oder gar eine Anzeige, um den aktuellen Stand gut sichtbar anzuzeigen. Hier folgt eine einfache und praktikable Lösung dafür."
"2021-1";"Till Harbaum";"Computing";"Von Lucky Logic zu ROBO Pro Coding";"103–109";"Im Sommer geht mit dem Erscheinen des TXT-4.0 und seiner Programmierumgebung „RoboPro Coding“ eine ziemlich genau 30-jährige Geschichte der Programmierung durch Ablaufdiagramme bei fischertechnik zu Ende. Wir blicken zurück und in die Zukunft."
"2021-1";"Kurt Mexner";"Computing";"ROBO Pro simuliert: Würfeln und Rechnen";"110–113";"Ein kleines Würfelspiel in ROBO Pro gefällig, das ohne Würfel und TXT Controller auskommt und bei dem man nicht einmal Zahlen addieren muss? Oder hat Onkel Klaus dir 10.000 € vererbt, die du bei deiner Bank zu 3 % Zinsen für zehn Jahre anlegen möchtest – und ROBO Pro soll dir verraten, wie viel Geld du einschließlich Zinseszinsen nach 10 Jahren ausbezahlt bekommst?"
"2021-1";"Helmut Jawtusch";"Computing";"TX Controller und ftDuino im Vergleich";"114–118";"Grundlage eines Vergleichs zwischen dem TX Controller und dem ftDuino bildeten vier mit den Encodermotoren angetriebene fahrbare Roboter: ein „Pixy-Folger“, ein ferngesteuerter Roboter und ein Hinderniserkenner. Die Robotersteuerungen wurden in der Programmiersprache C (TX) bzw. C++ (ftDuino) entwickelt."
"2021-1";"Arnoud van Delden";"Computing";"fischertechnik-Roboter mit Arduino (Teil 3): Steuerung mit dem Joystick Shield";"119–127";"Die fünf Roboter aus dem Buch „fischertechnik-Roboter mit Arduino“ [1] haben zahlreiche Leser zu weiteren Modellideen angeregt. In loser Folge stellen sie in dieser Serie einige ihrer Modellvarianten vor. Diesmal erhalten „Buggy“ und „Flitzer“ eine robuste und komfortable Funk-Fernsteuerung mit Display."
"2021-1";"Dirk Wölffel";"Modell";"6-Achs-Roboterarm RS 816";"128–135";"Im Jahr 1985 brachte fischertechnik den Baukasten Computing Trainings-Roboter (Abb. 1) auf den Markt. Der Roboter bestand aus vier Motoren zum Ansteuern der drei Achsen und des Greifers. Schon damals wurden Alu-Profile für den Greifer verwendet. Inzwischen ist die Robotertechnik weiter fortgeschritten und Roboter sind viel komplexer geworden. Sie verfügen über Schrittmotoren, Sensorik und künstliche Intelligenz. Entwicklungen aus der Community und der 3D-Druck haben mich inspiriert einen 6-Achs-Roboterarm (Abb. 2) zu bauen."
"2020-4";"Dirk Fox";"Editorial";"1010 Jahre";"2";
"2020-4";"Stefan Falk";"In eigener Sache (Reportage)";"Inhaltsverzeichnis der ersten 10 Jahre ft:pedia";"4";"Die erste Dekade ft:pedia ist „voll“. Insbesondere für Liebhaber der von Rüdiger Riedel gedruckten Bände mit vollständigen Doppeljahrgängen bieten wir zum Ausdruck auch eine Sonderbeilage mit einem Gesamt-Inhaltsverzeichnis [1] über die ersten 10 Jahre ft:pedia zum Download."
"2020-4";"Rüdiger Riedel";"In eigener Sache (Reportage)";"Sonderbeilage: Alle Mini-Modelle im Überblick";"5";"Viele, viele kleine Modelle sind in den letzten 10 Jahren von fleißigen und kreativen Fans der fischertechnik-Welt für die ft:pedia erfunden worden. Jetzt werden sie zusammenfassend präsentiert."
"2020-4";"Gerhard Birkenstock";"Modell";"Mini-Modelle (26): Zentrierwinkel";"6–7";"Eine große Scheibe soll auf die Drehmaschine. Für die einzuspannende Achse muss der Mittelpunkt gefunden werden. Kein Zentrierwinkel zur Hand? Mit fischertechnik ist das Problem in wenigen Minuten gelöst."
"2020-4";"Rüdiger Riedel";"Modell";"Wendefahrzeug Wennichanstoßewendeich";"8–12";"Vor 60 Jahren waren Batterien teuer, aber manche Kinder hatten Großeltern, die sie ihnen kauften. Damit wurden seltsame Autos und schienenlose, große Lokomotiven angetrieben, die bei jedem Anstoß an der Wand und an Möbeln die Fahrtrichtung wechselten und weiterfuhren. Die Funktion war sehr geheimnisvoll."
"2020-4";"Ralf Geerken";"Modell";"Eine dreizeigrige Uhr";"13–19";"Es ist erst ein paar Wochen her, dass ich ein mir bisher unbekanntes fischertechnik-Bauteil in den Händen hielt – nämlich das Mini-Speichenrad (35171), welches in einem eigenen Artikel [1] beschrieben ist. Es ist das Innenteil, also der Käfigdeckel, des alten Differentials (31043). Bei der Suche nach einer Anwendungsmöglichkeit stieß ich auf die Möglichkeit das MiniSpeichenrad in den neuen Differentialkäfig einzupassen. Es entstand dann recht schnell die Idee eine Uhr mit drei Zeigern zu konstruieren."
"2020-4";"Daniel Canonica";"Modell";"Pneukran";"20–25";"Ein Pneukran vereint die Möglichkeit zum Bewegen von schweren Lasten mit Mobilität und schneller Einsatzbereitschaft. Durch ständig verbesserte Teleskoparme und modulare Gegengewichte werden enorme Höhen und Lastgrenzen erreicht."
"2020-4";"Tilo Rust";"Modell";"Schrägseilbrücke und Hängebahn (Teil 2)";"26–36";"Nachdem ich im ersten Teil [4] die Architektur und Statik des Bauwerkes erläutert habe, befasst sich dieser Teil mit dem Antrieb und der Regelung für die Hängebahn an unserer Schrägseilbrücke."
"2020-4";"Ralf Geerken";"Tipps & Tricks";"Das Mini-Speichenrad";"37–39";"Um an das gute Innere heranzukommen, knackt man zu Weihnachten ja eigentlich Nüsse – als fischertechniker knackt man natürlich etwas anderes, z. B. ein altes Differential (31043). Aber keine Bange, hierbei ist es etwas anderes als bei der Nussschale, das Äußere nimmt dabei nämlich keinen Schaden und kann hinterher genauso gut verwendet werden wie das Innere."
"2020-4";"Rüdiger Riedel";"Tipps & Tricks";"Richtungsanzeige mit LEDs";"40–41";"Eine LED ist auch eine Diode, wie der Name sagt: Light-Emitting Diode. Wird sie falsch herum angeschlossen, dann leuchtet sie nicht. Aber hält sie das auch aus?"
"2020-4";"Dirk Fox";"Getriebe";"Planetengetriebe (2)";"42–45";"Unter den zahlreichen Getriebearten gibt es eine Kategorie mit ganz besonderer „Magie“ – die der Planetengetriebe, einer Sonderform der Umlaufgetriebe. Planetengetriebe sind heute aus keinem Fahrzeugantrieb mehr wegzudenken und erleben in Fahrrad-Nabenschaltungen einen zweiten Frühling. Im fischertechnik-System hielten sie vor 50 Jahren mit der Einführung des Innenzahnrads Z30 (35694) Einzug: Ein perfekter Anlass für eine Ergänzung des Beitrags von Thomas Püttmann aus der ft:pedia 2/2016 [1]."
"2020-4";"Harald Steinhaus";"Getriebe";"Uhr mit Planetengetriebe";"46–54";"Die Beispiele im Bilderpool und in der ft:pedia zeigen es: Uhrenbau mit fischertechnik ist des Schweißes der Edlen wert."
"2020-4";"Kurt Mexner";"Tipps & Tricks";"Eingänge vermehren";"55–57";"Die acht Eingänge des TXT sind schnell belegt. Wenn Endlagenschalter, Steuerungsschalter, Fototransistor oder weitere Module angeschlossen werden müssen, gelangt der Controller schnell an seine Grenzen. Ein weiterer TXT oder eine Erweiterung über den EXT-Anschluss geht ins Geld. Hier kommt eine einfache und kostengünstige Eigenbaulösung, wie ein Eingang als Mehrfach-Eingang benutzt werden kann."
"2020-4";"Arnoud van Delden";"Computing";"fischertechnik-Roboter mit Arduino (Teil 2): 2,4-GHz-Fernbedienung mit dem PS2-Gamepad";"58–63";"In dem Buch „fischertechnik-Roboter mit Arduino“ [1] werden fünf Roboter vorgestellt und mit zahlreichen Funktionen und Arduino-Steuerungen ausgestattet. Einige Leser haben in den vergangenen Monaten weitere Modellideen beigetragen – in loser Folge stellen sie in dieser Serie auch einzelne ihrer Modellvarianten vor. Diesmal geht es um die Fernsteuerung der Arduino-Roboter mit einem Wireless Gamepad für die Sony PlayStation 2."
"2020-4";"Till Harbaum";"Computing";"Bluetooth-Modul für den ftDuino";"64–67";"Bluetooth hat inzwischen überall in unserem Leben Einzug gehalten – PCs, Tablets und Smartphones verbinden wir darüber mit Kopfhörern, Druckern und Musikanlagen. In der fischertechnik-Welt führt Bluetooth hingegen noch ein Randdasein. Sehr zu Unrecht: Denn in Verbindung mit einer Smartphone-App lassen sich elegante, flexible und komfortable Fernsteuerungen realisieren. Der ftDuino macht es vor."
"2020-4";"Björn Gundermann, Stefan Fuss, Christian Lauff";"Elektronik";"ft-Soccer – IR-Sensor für den RoboCup-Junior-Wettbewerb „Soccer“";"68–72";"Seit dem Jahr 2000 gibt es bei dem weltweit ausgetragenen Robotik-Wettbewerb RoboCup einen Junior-Wettbewerb. Eine der Disziplinen ist „Soccer“ – ein Fußballwettkampf. Andreas Kempf hat 2015 darüber in der ft:pedia berichtet [1]. Für die Lokalisierung des Fußballs, der in hoher Frequenz IR-Signale aussendet, benötigt man einen Sensor, der die aktuelle Position und die Bewegungsrichtung des Balls feststellen kann. Das gelingt mit dem in diesem Beitrag vorgestellten Sensormodul „ft-Soccer“."
"2020-4";"Stefan Fuss, Christian Bergschneider, Oliver Schmiel";"Elektronik";"Rollende Steine – die ftcSoundBar";"73–79";"„Der Takt setzte sich fort, sprang von Bewusstsein zu Bewusstsein, schnippte mit den Fingern und kräuselte die Lippen. Lebendige Musik. Sich wild und ungehemmt entfaltende Musik mit Steinen drin… Endlich frei! Die Klänge rasten von Kopf zu Kopf, drangen durch die Ohren ein und setzten ihren Weg zum Rautenhirn fort.“ [1]"
"2020-4";"Hans-Christian Funke";"Elektronik";"Elektronik-Module (Teil 5)";"80–94";"Die Elektronikmodule können auch hervorragend zusammen mit einem programmgesteuerten Controller (ROBO, TX/TXT, Arduino) eingesetzt werden. In diesem Teil zu den Elektronikmodulen stelle ich einige Einsatzmöglichkeiten und Modelle mit einem vollständigen Programm vor."
"2020-3";"Dirk Fox";"Editorial";"Lernen";"2";
"2020-3";"Ralf Geerken";"Tipps & Tricks";"Reifen wechsel' dich";"4–11";"Das Sortiment an fischertechnik-Reifen ist ja nun schon recht groß, aber es wird, glaube ich, Zeit für einen Reifenwechsel bzw. Zeit, um mal so einiges umzukrempeln."
"2020-3";"Rüdiger Riedel";"Tipps & Tricks";"Wiederbelebung des Batteriestabes";"12–13";"Der alte Batteriestab konnte mit drei Babyzellen ausgerüstet werden und lieferte damit 4,5 V. Das war selbst für die alten Motoren recht wenig. Zum Wegwerfen ist das Gehäuse aber zu schade – was kann man da tun?"
"2020-3";"Stefan Falk";"Pneumatik";"Manometer";"14–22";"In diesem Beitrag geht es um das Messen von Drücken, insbesondere des Luftdrucks in pneumatischen Modellen. Dafür gibt es Messgeräte – Manometer genannt – und natürlich stellen wir ein solches mit fischertechnik-Mitteln her."
"2020-3";"Rüdiger Riedel";"Modell";"Scorpio, Balliste und Onager";"23–30";"Der Bogen als Jagd- und Kriegswaffe wurde bereits in der Steinzeit verwendet und war aus Holz gefertigt. Die Griechen erfanden Torsionskatapulte, die verdrillte Seilbündel aus Sehnen und Haaren zur Energiespeicherung verwendeten."
"2020-3";"Tilo Rust";"Modell";"Schrägseilbrücke und Hängebahn (Teil 1)";"31–40";"In diesem Zweiteiler stelle ich mein Großprojekt vor, das eigentlich zwei Projekte umfasst. Zum einen die Brücke als Bauwerk, zum anderen den Antrieb des Fahrzeugs mit gegenläufigen Seilen und einer elektromechanischen Regelung. In diesem Projekt sind einige technische Raffinessen versteckt, die bei erster Betrachtung nicht erkennbar sind – hier aber in den Mittelpunkt gestellt werden. Der zweite Teil des Beitrags wird sich mit dem Seilantrieb, der Regelung sowie Energiemanagement und Fernbedienung beschäftigen."
"2020-3";"Frank Bruder";"Elektronik";"Der Transistor";"41–58";"Bald 100 Jahre wird er alt, der Transistor. Auch wenn seine offizielle Geburtsstunde erst 1947 schlug und mit einem Nobelpreis belohnt wurde, reicht seine Geschichte doch bis ins Jahr 1925 zurück. Julius Edgar Lilienfeld (1882-1963) ließ sich in diesem Jahr ein elektronisches Bauelement patentieren, das mit den heutigen Feldeffekttransistoren vergleichbar ist. Eine praktische Anwendung gelang nicht. Die technischen Voraussetzungen zur Herstellung waren einfach noch nicht gegeben."
"2020-3";"Hans-Christian Funke";"Elektronik";"Elektronik-Module (Teil 4)";"59–70";"Die meisten Modelle bewegen etwas oder bewegen sich selbst. Aber um dies tun zu können, werden entsprechende elektrische Hilfsmittel wie Motoren, Kompressor oder Magnete benötigt. Einige dieser Hilfsmittel brauchen sogar eine ganze Menge Strom. Damit muss einerseits bedarfsgerecht Strom zur Verfügung gestellt werden; andererseits werden Schalter benötigt, die zum Schalten dieser Ströme geeignet und auch schnell genug sind."
"2020-3";"Hans-Christian Funke";"Modell";"Pianophone";"71–77";"In der Modellbauwelt haben wir eine Vielzahl von Möglichkeiten, etwas zu bewegen, sich drehen oder fahren zu lassen, zu transportieren, zu steuern oder gar das Modell mit optischen Reizen (Lampen, LEDs) auszustatten. Akustische Signale sind eher selten in einem Modell zu finden – daher hier einmal ein voll akustisches Modell."
"2020-3";"Hans-Christian Funke";"Modell";"Digitale Uhr";"78–82";"Mit den neuen LED-Anzeigen der Zählermodule (70001, 70002) vervielfältigen sich die Möglichkeiten für neue oder die Perfektionierung bestehender Modelle. Heute stelle ich euch eine weitere Möglichkeit vor und gleichzeitig auch ein Anwendungsbeispiel für den Taktgenerator (70004), der hier als Binärzähler eingesetzt wird."
"2020-3";"Rolf Meingast";"Computing";"startIDE (9): Betrieb eines motorisierten xy-Tischs";"83–89";"Vor einiger Zeit konnte ich für wenig Geld einen praktisch unbenutzten motorisierten xyMikroskoptisch erwerben. Dieser Beitrag beschäftigt sich mit dem Aufbau des Tisches, dem Anschluss an den ftDuino und mit dem Programm zur Steuerung, das auf dem TX-Pi [1, 2] mit der App startIDE [3, 4] läuft."
"2020-3";"Axel Chobe";"Computing";"Micro:Bit (Teil 2)";"90–92";"In Heft 4/2019 der ft:pedia [1] wurde eine Erweiterungsplatine für den Einplatinencomputer Micro:Bit zur Steuerung von fischertechnik-Modellen vorgestellt. Nun gibt es von Kitronik eine weitere, sehr einfach gehaltene Erweiterung. Auch hier erfolgt die Programmierung mit dem MakeCode-Editor"
"2020-3";"Dirk Fox";"Computing";"fischertechnik-Roboter mit Arduino (Teil 1): Smartphone-Steuerung über BLE";"93–100";"In unserem Buch „fischertechnik-Roboter mit Arduino“ [1] stellen Thomas Püttmann und ich fünf Roboter vor, die wir mit zahlreichen Funktionen und Arduino-Steuerungen versehen haben. Einige unserer Modellvarianten haben – aus unterschiedlichen Gründen – nicht den Weg ins Buch geschafft: Sei es, weil uns die Idee zu spät kam, weil die Realisierung nur einen Teil der Leserinnen und Leser interessieren dürfte oder schlicht, weil die Aufnahme ins Buch dazu geführt hätte, dass wir das (ohnehin gedehnte) Seitenlimit des Verlags „gesprengt“ hätten. Da inzwischen viele Leser der ft:pedia auch Leser unseres Buchs sind, möchten wir in loser Folge einige dieser Modellvarianten vorstellen. Die Vorschläge eignen sich auch – ganz unabhängig von unserem Buch – für eigene Modellideen."
"2020-2";"Dirk Fox";"Editorial";"Back to School";"2";
"2020-2";"Gerhard Birkenstock";"Modell";"Mini-Modelle (25): Parallelzeichner";"4–5";"Immer wieder kommt es auch beim Heimwerken vor, dass eine kleine Hilfe gebraucht wird. Gerade bei einfachen Problemen kann fischertechnik helfen. Hier ist es ein simpler Parallelzeichner. Eine Kontur wird damit auf einfachste Art auf das Werkstück übernommen."
"2020-2";"Peter Habermehl";"Baukasten (Tipps & Tricks)";"Die Box 125/1 Advanced Mini Cranes";"6–11";"Zu Ostern 2020 wurde im Forum der fischertechnik community als kleine Überraschung die Anleitung für die Zusammenstellung eines kleinen Kran-Baukastens veröffentlicht. In diesem Beitrag wird die Entstehung des Community-Baukastens „Advanced Mini Cranes“ zusammen mit einigen Hintergrundinformationen dargestellt."
"2020-2";"Harald Steinhaus";"Tipps & Tricks";"Kaulquappen (Teil 11)";"12–16";"Im Mittelpunkt der vorliegenden Episode stehen gute Bekannte: die Reifen 45 und 60 (31018 und 37236). Im Forum hob jüngst eine Diskussion darüber an, dass doch die Reifen 45 aus den Tagen des Grundkasten 300 „alt“ und den neuen, weichen, breiten Reifen 45 nicht ebenbürtig wären. Vom Design her mag da etwas dran sein. Allerdings haben diese Elemente eine Reihe von Tricks auf Lager, für die weder mit neueren Reifen noch mit anderen Teilen ebenbürtiges erschienen ist."
"2020-2";"Dirk Fox";"Tipps & Tricks";"Taster, Schalter und Steuerhebel (Joysticks)";"17–23";"Ein motorisiertes fischertechnik-Modell, das sich nicht einschalten lässt? Undenkbar. Eine manuelle Steuerung ohne Steuerhebel, Endlagentaster oder Polwender? Schwer vorstellbar. Ein mit Sensoren und Mikrocontroller gesteuertes Modell ohne Taster? Selten. Taster, Schalter und Steuerhebel sind unverzichtbare Elemente des fischertechnik-Systems – und mit ein wenig Raffinesse bieten sie sogar mehr, als auf den ersten Blick erkennbar. Eine Ideensammlung."
"2020-2";"Stefan Fuss, Christian Bergschneider";"Modell";"Summer in the City";"24–29";"Grillen ist die Urform des Kochens. Trotz oder gerade weil wir das Kochen mit Induktionsfeldern, Sous-Vide-Methode und molekularer Küche mittlerweile technisch bis ins feinste perfektioniert haben, zieht uns schönes Wetter wie eine magische Kraft an die ursprüngliche Feuerstelle zurück."
"2020-2";"Rüdiger Riedel";"Modell";"Der Selbstschrauber";"30–32";"Der Traum aller Schrauber an den Metallbaukästen von Märklin, Trix, Construction, Eitech, Merkur, Stabil, Stokys, Meccano, Metallus, Tronico: Die vielen Schraubverbindungen mühelos herzustellen. Jetzt ist er da, der Prototyp des Selbstschraubers!"
"2020-2";"Stefan Falk";"Modell";"Das chaotische Pendel";"33–37";"Mit wenigen Magneten und einem magnetischen Pendel lässt sich ein einfaches Modell bauen, dessen Bewegungen faszinierend chaotisch anmuten und immer wieder neu ausfallen."
"2020-2";"Rüdiger Riedel";"Elektromechanik";"Synchronpendel und extreme Synchronmaschinen";"38–46";"Ja gibt’s denn sowas? Aus einer Laune heraus habe ich probiert, ein Pendel mit einem Synchronantrieb auszurüsten. Tatsächlich, es funktioniert!"
"2020-2";"Stefan Falk";"Getriebe";"Harmonic Drives von Z10 bis Z40";"47–60";"Vor einer ganzen Reihe von Jahren „entdeckte“ der fischertechnik-Community-Chat die Existenz von „Harmonic Drives“. Das sind besondere Getriebe, die in einem Schritt enorme Untersetzungsverhältnisse realisieren können. Über die Zeit gab es eine ganze Reihe von Vorschlägen, wenigstens Funktionsmodelle davon mit fischertechnik zu realisieren. Dieser Beitrag stellt Aufbauten für Z40, Z30, Z20, Z15 und Z10 vor."
"2020-2";"Tilo Rust";"Tipps & Tricks";"Verkabelung (Teil 3)";"61–67";"Dieser Artikel entstand, nachdem ich einige Beiträge gelesen hatte, bei denen es um Tipps und Tricks zur Verkabelung von Modellen geht [2, 3]. Da ich als gelernter Mess- und Regelmechaniker (in den 1990ern) noch das Bündeln von Kabelbäumen gelernt habe und in meinen Modellen viele Kabel benutze (in meiner Schrägseilbrücke befinden sich über 200 m Leitung) möchte ich hier meine Tipps weitergeben."
"2020-2";"Hans-Christian Funke";"Elektronik";"Elektronikmodule (Teil 3)";"68–81";"Dieser dritte Beitrag beschäftigt sich mit den Elektronikmodulen, die eine besondere Funktion haben. Unter Anderem sind dabei die ersten Elektronikmodule, mit denen alles begonnen hat. Diese Module waren die Antriebsfeder für mich, die gesamte Serie an Elektronikmodulen aus der Taufe zu heben."
"2020-2";"Hans-Christian Funke";"Modell";"Kugelzähler und Soundeffekt";"82–85";"Mit dem Multifunktionsmodul [1] kann man mit Hilfe von Sensoren und Fühlern interessante Ergänzungen z. B. für Kugelbahnen aufbauen. Kugelbahnen sind immer noch der Trend bei den Modellen und aus diesem Grund habe ich meine Kugelbahn hergenommen und mit Soundeffekt und einem Kugelzähler ausgestattet."
"2020-2";"André Marcel";"Computing";"fischertechnik-Interface für den Calliope mini";"86–91";"Der Mikrocontroller Calliope mini wird immer häufiger im Informatik-Unterricht in Grund- und weiterführenden Schulen eingesetzt. Die einfache Möglichkeit zur Steuerung von fischertechnik-Modellen erhöht dabei deutlich den Spaß und den Lerneffekt."
"2020-2";"Dirk Wölffel";"Modell";"fischertechnik-Malroboter";"92–95";"Im Herbst 2017 haben wir mit der ftcommunity bei der Maker Faire in Kiel teilgenommen und unsere fischertechnik-Modelle ausgestellt. Auf der Suche nach neuen Anregungen und neuen Trends habe ich nach dem Aufbau einen kleinen Rundgang über die Ausstellung gemacht. Dabei ist mir ein Modell von einem Malroboter an einem Maker-Stand besonders ins Auge gefallen: Der WaterColorBot (Abb. 1), ein Malroboter, der mit verschiedenen Wasserfarben Bilder malt. Angetrieben wird dieser Bausatz über zwei Schrittmotoren, die über ein Seilsystem den Pinsel steuern. Über eine Software wird ein Bild erstellt, die dann die Koordinaten mit den Schrittmotoren ansteuert. So etwas sollte doch auch mit fischertechnik möglich sein – es wurde also Zeit, einen fischertechnik-Malroboter (Abb. 2) zu bauen."
"2020-1";"Stefan Fuss";"Editorial";"Artur-64";"2";
"2020-1";"Roland Enzenhofer";"ft-Geschichte (Grundlagen)";"Wie alles begann";"4–9";"Im Jahr 1964 wurde fischertechnik ursprünglich als Weihnachtsgeschenk für Geschäftspartner entwickelt. Die ersten 1000 Baukästen spendete der Erfinder Artur Fischer (1919–2016) zu Weihnachten 1965 der Aktion Sorgenkind – und eine Erfolgsgeschichte begann…"
"2020-1";"Gerhard Birkenstock";"Modell";"Mini-Modelle (24): Abakus";"10–11";"Wenn die Kinder in die Grundschule gehen, das Fach Mathematik kommt und über die Zahl zehn hinaus gerechnet werden muss – dann reichen die Finger nicht mehr und der fischertechnik-Abakus muss her, um wieder Spaß am Lernen zu bekommen."
"2020-1";"Thomas Püttmann";"Tipps & Tricks";"Gelenksteinketten";"12–14";"Was macht man, wenn man ein großes Fach voller Gelenksteine sieht? – Lange Ketten bauen! Diese lassen sich sogar sinnvoll einsetzen."
"2020-1";"Frank Diekmann";"Tipps & Tricks";"Kugelbahn: Treppenförderer";"15–20";"Die Konstruktion des ansprechenden „Treppenförderers“ aus dem fischertechnik-Baukasten „Dynamic XL“, Kugelbahn-Flaggschiff des Jahres 2014, verursachte zahlreichen fischertechnikern Kopfzerbrechen und führte zu einzelnen vernichtenden Kritiken [1]. Die Probleme lassen sich jedoch eingrenzen – und beheben."
"2020-1";"Jan Hanson";"Tipps & Tricks";"Alternative Verbindungslösungen für Stecker und Buchsen";"21–29";"Wie kann man Fremdbauteile elektrisch am besten mit fischertechnik-Modellen verbinden? Auf diese Frage haben findige fischertechniker schon viele kreative Antworten gefunden. Zusammen mit einem kleinen Rückblick auf die Geschichte des fischertechnik-Steckers werden sie in diesem Beitrag vorgestellt."
"2020-1";"Till Harbaum";"Modell";"Eierlei mit fischertechnik";"30–35";"Ostern steht vor der Tür und der arme Osterhase schwingt rund um die Uhr den Pinsel. Wir kommen mit fischertechnik zu seiner Rettung und automatisieren das lästige Eiermalen mit unserem EggBot-Mal-Roboter."
"2020-1";"Thomas Püttmann";"Modell";"Hier kommt Kurt";"36–39";"Schleudere Kapriolen-Kurt durch Drücken auf dein Paddel so in die Luft, dass er die lustigsten Überschläge macht und deinen Mitspielern im Sturzflug die 5-Cent-Münzen aus ihren Schubern schlägt. Ähnlichkeiten zu erfolgreichen Actionspiel-Klassikern sind rein zufällig."
"2020-1";"Stefan Falk";"Schaltungstechnik (Elektromechanik)";"Motorsteuerungen (6): Wechselschaltungen, die Zweite";"40–51";"In den ersten beiden Ausgaben der ft:pedia stellten wir die Drehrichtungssteuerung nur mit zwei Tastern und die Ergänzung um eine Endlagenabschaltung mit insgesamt vier Tastern vor. Heute schauen wir uns an, wie es – je nach Modell – noch einfacher geht."
"2020-1";"Hans-Christian Funke";"Elektronik";"Elektronikmodule (Teil 2)";"52–61";"Elektronik kann die Modellbauwelt beleben und um ein Vielfaches interessanter werden lassen. Viele Modelle werden heute auch mit kleinen Computer-Interfaces ausgestattet und können somit völlig unabhängig und eigenständig Modelle steuern. Aber jeder noch so kleine Computer basiert auf den Grundlagen der digitalen Elektronik, den Gattern und Speichern. Die Elektronikmodule helfen dieses Grundlagenwissen aufzubauen, zu erlernen und zu verstehen."
"2020-1";"Claus Ludwig";"Modell";"Flipper mit Elektronik-Modul-Steuerung";"62–69";"Die Idee einen Flipper zu bauen gab es schon seit mehreren Jahren bei mir. Sie reifte mit den verschiedenen Modellen, die in der ftcommunity.de gezeigt wurden. Bei allem gab es aber für mich ein persönliches Problem: Alle meine Versuche mit der ROBO-PRO Software zu arbeiten, waren bisher erfolglos. Daher hatte ich mich schon 2019 mit einem fischertechnik-Kollegen abgestimmt, der mich bei der Programmierung als Coach unterstützt. Gleichzeitig gab es immer wieder den Gedanken, dass alle Funktionen mit den Electronics-Modulen zu steuern wären…"
